Compétition,Nom équipe,Numéro de club,MailClub,Nom de club,Localité club,AdressePostale,Latitude,Longitude,Complément (club),Voie-rue (club),Lieu-dit (club),Code postal (club),Bureau distributeur (club),Libellé catégorie,Sous catégorie
D3 Gar. Des Stuarts Distinxion,Argent Cs 1,504956,504956@lcfoot.fr,C.S. ARGENT S/SAULDRE,ARGENT SUR SAULDRE,RUE JEAN MOULIN 18410 ARGENT SUR SAULDRE,"47,5590877","2,4449075",MAIRIE,RUE JEAN MOULIN,,18410,ARGENT SUR SAULDRE,Libre / Senior,Senior
D4 My Team,Argent Cs 2,504956,504956@lcfoot.fr,C.S. ARGENT S/SAULDRE,ARGENT SUR SAULDRE,RUE JEAN MOULIN 18410 ARGENT SUR SAULDRE,"47,5590877","2,4449075",MAIRIE,RUE JEAN MOULIN,,18410,ARGENT SUR SAULDRE,Libre / Senior,Senior
Critérium U11 Niveau 3,Ent. Cher Nord 1,504956,504956@lcfoot.fr,C.S. ARGENT S/SAULDRE,ARGENT SUR SAULDRE,RUE JEAN MOULIN 18410 ARGENT SUR SAULDRE,"47,5590877","2,4449075",MAIRIE,RUE JEAN MOULIN,,18410,ARGENT SUR SAULDRE,Libre / Football d'animation,U11 (- 11 ans)
D1 Trophée Mutuale,Aubigny S/Ner. Es 1,504976,504976@lcfoot.fr,ENT.S. AUBIGNY S/NERE,AUBIGNY SUR NERE,"17, RUE DU VAL DE NERE 18700 AUBIGNY SUR NERE","47,4683192","2,4548709",Monsieur José TURPIN,"17, RUE DU VAL DE NERE",DOMAINE D'AUBIGNY,18700,AUBIGNY SUR NERE,Libre / Senior,Senior
D3 Gar. Des Stuarts Distinxion,Ent. Aubigny/Brinon 2,504976,504976@lcfoot.fr,ENT.S. AUBIGNY S/NERE,AUBIGNY SUR NERE,"17, RUE DU VAL DE NERE 18700 AUBIGNY SUR NERE","47,4683192","2,4548709",Monsieur José TURPIN,"17, RUE DU VAL DE NERE",DOMAINE D'AUBIGNY,18700,AUBIGNY SUR NERE,Libre / Senior,Senior
U17 Départemental 1,Ent. Cher Nord 1,504976,504976@lcfoot.fr,ENT.S. AUBIGNY S/NERE,AUBIGNY SUR NERE,"17, RUE DU VAL DE NERE 18700 AUBIGNY SUR NERE","47,4683192","2,4548709",Monsieur José TURPIN,"17, RUE DU VAL DE NERE",DOMAINE D'AUBIGNY,18700,AUBIGNY SUR NERE,Libre / U17 - U16,U17 (- 17 ans)
U15 Départemental 2,Ent. Cher Nord 1,504976,504976@lcfoot.fr,ENT.S. AUBIGNY S/NERE,AUBIGNY SUR NERE,"17, RUE DU VAL DE NERE 18700 AUBIGNY SUR NERE","47,4683192","2,4548709",Monsieur José TURPIN,"17, RUE DU VAL DE NERE",DOMAINE D'AUBIGNY,18700,AUBIGNY SUR NERE,Libre / U15 - U14,U15 (- 15 ans)
Critérium U13 Départemental 2,Ent. Cher Nord 1,504976,504976@lcfoot.fr,ENT.S. AUBIGNY S/NERE,AUBIGNY SUR NERE,"17, RUE DU VAL DE NERE 18700 AUBIGNY SUR NERE","47,4683192","2,4548709",Monsieur José TURPIN,"17, RUE DU VAL DE NERE",DOMAINE D'AUBIGNY,18700,AUBIGNY SUR NERE,Libre / U13 - U12,U13 (- 13 ans)
Critérium U13 Départemental 3,Ent. Cher Nord 2,504976,504976@lcfoot.fr,ENT.S. AUBIGNY S/NERE,AUBIGNY SUR NERE,"17, RUE DU VAL DE NERE 18700 AUBIGNY SUR NERE","47,4683192","2,4548709",Monsieur José TURPIN,"17, RUE DU VAL DE NERE",DOMAINE D'AUBIGNY,18700,AUBIGNY SUR NERE,Libre / U13 - U12,U13 (- 13 ans)
D2 Cd18,Avord Fc 1,547510,547510@lcfoot.fr,F. C. AVORD,AVORD, 18520 AVORD,"47,032962","2,652172",MAIRIE,,,18520,AVORD,Libre / Senior,Senior
